"ID","快递公司代码 ","公司名称 "
1,"aae","AAE全球专递"
2,"anjiekuaidi","安捷快递"
3,"anxindakuaixi","安信达快递"
4,"baifudongfang","百福东方"
5,"biaojikuaidi","彪记快递"
6,"bht","BHT"
7,"cces","希伊艾斯快递"
8,"coe","中国东方（COE）"
9,"changyuwuliu","长宇物流"
10,"datianwuliu","大田物流"
11,"debangwuliu","德邦物流"
12,"dpex","DPEX"
13,"dhl","DHL"
14,"dsukuaidi","D速快递"
15,"ems","EMS特快专递(e邮宝)"
16,"fedex","fedex"
17,"feikangda","飞康达物流"
18,"fenghuangkuaidi","凤凰快递"
19,"ganzhongnengda","港中能达物流"
20,"guangdongyouzhengwuliu","广东邮政物流"
21,"gls","GLS快递"
22,"huitongkuaidi","汇通快运"
23,"hengluwuliu","恒路物流"
24,"huaxialongwuliu","华夏龙物流"
25,"jinguangsudikuaijian","京广速递"
26,"jixianda","急先达"
27,"jiajiwuliu","佳吉物流"
28,"jiayiwuliu","佳怡物流"
29,"jiayunmeiwuliu","加运美"
30,"kuaijiesudi","快捷速递"
31,"lianhaowuliu","联昊通物流"
32,"longbanwuliu","龙邦物流"
33,"lanbiaokuaidi","蓝镖快递"
34,"minghangkuaidi","民航快递"
35,"peisihuoyunkuaidi","配思货运"
36,"quanchenkuaidi","全晨快递"
37,"quanjitong","全际通物流"
38,"quanritongkuaidi","全日通快递"
39,"quanyikuaidi","全一快递"
40,"shentong","申通快递"
41,"shunfeng","顺丰速运"
42,"shenghuiwuliu","盛辉物流"
43,"suer","速尔物流"
44,"shengfengwuliu","盛丰物流"
45,"shangda","上大物流"
46,"tiandihuayu","天地华宇"
47,"tiantian","天天快递"
48,"tnt","TNT"
49,"ups","UPS"
50,"wanjiawuliu","万家物流"
51,"wenjiesudi","文捷航空速递"
52,"wuyuansudi","伍圆速递"
53,"wanxiangwuliu","万象物流"
54,"xinbangwuliu","新邦物流"
55,"xinfengwuliu","信丰物流"
56,"xingchengjibian","星晨急便"
57,"xinhongyukuaidi","鑫飞鸿物流快递"
58,"yafengsudi","亚风速递"
59,"yibangwuliu","一邦速递"
60,"youshuwuliu","优速物流"
61,"yuanchengwuliu","远成物流"
62,"yuantong","圆通速递"
63,"yuanweifeng","源伟丰快递"
64,"yuanzhijiecheng","元智捷诚快递"
65,"yuefengwuliu","越丰物流"
66,"yunda","韵达快运"
67,"yuananda","源安达"
68,"yuanfeihangwuliu","原飞航物流"
69,"yuntongkuaidi","运通快递"
70,"zhaijisong","宅急送"
71,"zhongtiewuliu","中铁快运"
72,"zhongtong","中通速递"
73,"zhongyouwuliu","中邮物流"
